#freq Signal(ergs/s/cm2/Hz)
2417983429166477.5 1.4224468741829311e-30
2597503617793725.5 1.6405261227964812e-30
2790352060757219.5 1.8919558162254048e-30
2997518297812965.0 2.1818160684707153e-30
3220065335872074.0 2.515956000056195e-30
3459135103478830.0 2.901108988292654e-30
3715954310249702.5 3.3450249107681665e-30
3991840741339190.5 3.8566218200005964e-30
4288210019230466.5 4.446159820390744e-30
4606582867546834.0 5.125440293225353e-30
4948592914155847.0 5.9080340355776914e-30
5315995073605285.0 6.809542348715447e-30
5710674551902664.0 7.847895635226436e-30
6134656519843523.0 9.043694645544537e-30
6590116504523948.0 1.0420600157580578e-29
7079391552358123.0 1.2005777580819155e-29
7604992220880309.0 1.3830403750642445e-29
8169615460863310.0 1.5930244020492282e-29
8776158454853898.0 1.8346308667466072e-29
9427733483133176.0 2.1125598596992598e-29
1.0127683893381812e+16 2.432195135654094e-29
1.087960125599326e+16 2.799699953414103e-29
1.1687343793062022e+16 3.222125470563782e-29
1.2555056175609336e+16 3.7075331177514754e-29
1.348719079062944e+16 4.265132481159212e-29
1.4488530587081276e+16 4.905436316217593e-29
1.5564213618052696e+16 5.640434393654161e-29
1.671975940502724e+16 6.483787931596741e-29
1.7961097259533288e+16 7.451046383061034e-29
1.929459670749901e+16 8.559888311871904e-29
2.072710017242594e+16 9.830387983099829e-29
2.2265958085084344e+16 1.128530909286823e-28
2.3919066599884484e+16 1.295042673761783e-28
2.569490811145314e+16 1.4854878238519902e-28
2.7602594779313364e+16 1.7031542748650953e-28
2.965191528400019e+16 1.9517448625451543e-28
3.185338505452621e+16 2.235420628497623e-28
3.421830022492344e+16 2.558846259170221e-28
3.675879559672157e+16 2.927237068938041e-28
3.948790690477908e+16 3.346406644194623e-28
4.2419637705963576e+16 3.822813921221618e-28
4.556903123389987e+16 4.363608043016716e-28
4.895224758848448e+16 4.976668815137683e-28
5.258664665624063e+16 5.670639943287912e-28
5.649087718699201e+16 6.454951471314238e-28
6.0684972483924376e+16 7.339826934417281e-28
6.519045319803695e+16 8.336269688878573e-28
7.0030437754441304e+16 9.4560216726602e-28
7.522976097712352e+16 1.0711486496764405e-27
8.081510152085562e+16 1.2115607286110905e-27
8.681511876413147e+16 1.3681688123537617e-27
9.326059986554917e+16 1.542314637468702e-27
1.0018461773821302e+17 1.7353181700232473e-27
1.0762270075274898e+17 1.9484346365917487e-27
1.1561301503971142e+17 2.182800078252293e-27
1.2419656032680558e+17 2.4393638378477835e-27
1.3341738031580331e+17 2.7188065365312664e-27
1.433227886786317e+17 3.0214424259674364e-27
1.5396361183226288e+17 3.34710558624162e-27
1.653944497381239e+17 3.695020357209254e-27
1.776739560642376e+17 4.063657731823098e-27
1.9086513914765363e+17 4.45058129378558e-27
2.050356853014642e+17 4.852288725554183e-27
2.2025830612534797e+17 5.264057988012784e-27
2.366111116017573e+17 5.6798109540487466e-27
2.5417801089216826e+17 6.0920114268389656e-27
2.7304914288995475e+17 6.491618784496087e-27
2.933213387391257e+17 6.868122431795371e-27
3.150986186921964e+17 7.209684988418953e-27
3.3849272585665594e+17 7.503422569356415e-27
3.636236995687817e+17 7.735847201367624e-27
3.9062049133688224e+17 7.893487803996837e-27
4.1962162651448685e+17 7.963690810611597e-27
4.5077591509863994e+17 7.935578576938515e-27
4.842432153005378e+17 7.801113619136279e-27
5.2019525380651866e+17 7.55618179627404e-27
5.588165069383221e+17 7.20157272037534e-27
6.003051472339954e+17 6.743708574982816e-27
6.448740603065324e+17 6.194962810434614e-27
6.927519371979196e+17 5.573427685991252e-27
7.441844478336649e+17 4.902041287896671e-27
7.994355015989996e+17 4.207070822728902e-27
8.587886015049993e+17 3.516060261005826e-27
9.225482988931041e+17 2.855466625447797e-27
9.91041756142365e+17 2.248302142070234e-27
1.0646204253979634e+18 1.7121396070756697e-27
1.1436618519348461e+18 1.2578046031913006e-27
1.2285716114098744e+18 8.889673928420283e-28
1.3197853909428506e+18 6.026790725791426e-28
1.4177712247048387e+18 3.907108436444585e-28
1.523031895484966e+18 2.4140143263947793e-28
1.636107514558594e+18 1.4163847951324525e-28
1.7575782930946004e+18 7.861562657929552e-29
1.8880675193223693e+18 4.1108321475897204e-29
2.028244756734857e+18 2.0161319733602832e-29
2.1788292797383007e+18 9.23016419056287e-30
2.3405937643774807e+18 3.924469743119551e-30
2.514368253074307e+18 1.5411639272935176e-30
2.701044413723538e+18 5.557138503380224e-31
2.9015801149997737e+18 1.8282527499420555e-31
