#freq Signal(ergs/s/cm2/Hz)
2417983429166477.5 1.4143080432434031e-30
2597503617793725.5 1.6311339699770202e-30
2790352060757219.5 1.8811173487352016e-30
2997518297812965.0 2.1693085787829136e-30
3220065335872074.0 2.501522491868064e-30
3459135103478830.0 2.8844528987550957e-30
3715954310249702.5 3.325804020832274e-30
3991840741339190.5 3.8344412281475375e-30
4288210019230466.5 4.420563835900073e-30
4606582867546834.0 5.0959030831158064e-30
4948592914155847.0 5.873948833984813e-30
5315995073605285.0 6.770209008251723e-30
5710674551902664.0 7.80250626622863e-30
6134656519843523.0 8.991317050392001e-30
6590116504523948.0 1.0360158722722034e-29
7079391552358123.0 1.193603123791879e-29
7604992220880309.0 1.374992055938298e-29
8169615460863310.0 1.5837371857952184e-29
8776158454853898.0 1.823914143138285e-29
9427733483133176.0 2.100193724123419e-29
1.0127683893381812e+16 2.417925897516986e-29
1.087960125599326e+16 2.783234959382609e-29
1.1687343793062022e+16 3.20312713929136e-29
1.2555056175609336e+16 3.6856120675394366e-29
1.348719079062944e+16 4.239839614700076e-29
1.4488530587081276e+16 4.876253706913344e-29
1.5564213618052696e+16 5.606764795739163e-29
1.671975940502724e+16 6.444942711159205e-29
1.7961097259533288e+16 7.406231638786917e-29
1.929459670749901e+16 8.508188922690703e-29
2.072710017242594e+16 9.770749284692452e-29
2.2265958085084344e+16 1.1216515846076495e-28
2.3919066599884484e+16 1.2871079009162076e-28
2.569490811145314e+16 1.4763363768254686e-28
2.7602594779313364e+16 1.6926005328298564e-28
2.965191528400019e+16 1.9395751962154062e-28
3.185338505452621e+16 2.2213892770434693e-28
3.421830022492344e+16 2.542670634619387e-28
3.675879559672157e+16 2.9085924202631905e-28
3.948790690477908e+16 3.32492000941243e-28
4.2419637705963576e+16 3.7980572934429993e-28
4.556903123389987e+16 4.3350906763528665e-28
4.895224758848448e+16 4.943828599869581e-28
5.258664665624063e+16 5.632833788347826e-28
5.649087718699201e+16 6.4114446480412335e-28
6.0684972483924376e+16 7.289781361550699e-28
6.519045319803695e+16 8.278731178514373e-28
7.0030437754441304e+16 9.389906215142674e-28
7.522976097712352e+16 1.0635565745225686e-27
8.081510152085562e+16 1.2028493516112717e-27
8.681511876413147e+16 1.3581819099228627e-27
9.326059986554917e+16 1.5308770761105147e-27
1.0018461773821302e+17 1.7222345934673797e-27
1.0762270075274898e+17 1.9334884253907454e-27
1.1561301503971142e+17 2.1657527530668245e-27
1.2419656032680558e+17 2.4199551331033667e-27
1.3341738031580331e+17 2.6967554383325568e-27
1.433227886786317e+17 2.996449547199117e-27
1.5396361183226288e+17 3.318857341176419e-27
1.653944497381239e+17 3.6631954935742746e-27
1.776739560642376e+17 4.0279368720021556e-27
1.9086513914765363e+17 4.4106602146522635e-27
2.050356853014642e+17 4.8078961462923205e-27
2.2025830612534797e+17 5.2149786048162416e-27
2.366111116017573e+17 5.6259143152479025e-27
2.5417801089216826e+17 6.0332869246134575e-27
2.7304914288995475e+17 6.428216482733783e-27
2.933213387391257e+17 6.800398584599983e-27
3.150986186921964e+17 7.138249875011275e-27
3.3849272585665594e+17 7.429186664382374e-27
3.636236995687817e+17 7.660059780731616e-27
3.9062049133688224e+17 7.817760049862968e-27
4.1962162651448685e+17 7.889993697102751e-27
4.5077591509863994e+17 7.866204868124739e-27
4.842432153005378e+17 7.738593953873557e-27
5.2019525380651866e+17 7.503147901440284e-27
5.588165069383221e+17 7.160566953621132e-27
6.003051472339954e+17 6.716948404823532e-27
6.448740603065324e+17 6.1840807311260595e-27
6.927519371979196e+17 5.579219445138338e-27
7.441844478336649e+17 4.9242649603323075e-27
7.994355015989996e+17 4.2443422830485e-27
8.587886015049993e+17 3.565883506956647e-27
9.225482988931041e+17 2.914418655792302e-27
9.91041756142365e+17 2.312363516317514e-27
1.0646204253979634e+18 1.7771291301805362e-27
1.1436618519348461e+18 1.3198484991954125e-27
1.2285716114098744e+18 9.449191030691564e-28
1.3197853909428506e+18 6.5041183922145965e-28
1.4177712247048387e+18 4.292320759729038e-28
1.523031895484966e+18 2.707790293998808e-28
1.636107514558594e+18 1.6277284084325012e-28
1.7575782930946004e+18 9.292364450454344e-29
1.8880675193223693e+18 5.0197459040905525e-29
2.028244756734857e+18 2.556079312259766e-29
2.1788292797383007e+18 1.2218357138765406e-29
2.3405937643774807e+18 5.458572071611872e-30
2.514368253074307e+18 2.2683871723554598e-30
2.701044413723538e+18 8.724128212983427e-31
2.9015801149997737e+18 3.08834982801327e-31
