 #Flux Phi frequency
 8.485679e-04 0.000000e+00 4.196216e+17
 8.485545e-04 7.853982e-02 4.196216e+17
 8.483610e-04 1.570796e-01 4.196216e+17
 8.485647e-04 2.356194e-01 4.196216e+17
 8.484407e-04 3.141593e-01 4.196216e+17
 8.484926e-04 3.926991e-01 4.196216e+17
 8.482409e-04 4.712389e-01 4.196216e+17
 8.483210e-04 5.497787e-01 4.196216e+17
 8.479326e-04 6.283185e-01 4.196216e+17
 8.482117e-04 7.068583e-01 4.196216e+17
 8.483089e-04 7.853982e-01 4.196216e+17
 8.482164e-04 8.639380e-01 4.196216e+17
 8.483399e-04 9.424778e-01 4.196216e+17
 8.483619e-04 1.021018e+00 4.196216e+17
 8.483438e-04 1.099557e+00 4.196216e+17
 8.480803e-04 1.178097e+00 4.196216e+17
 8.484175e-04 1.256637e+00 4.196216e+17
 8.481844e-04 1.335177e+00 4.196216e+17
 8.485462e-04 1.413717e+00 4.196216e+17
 8.485100e-04 1.492257e+00 4.196216e+17
 8.485865e-04 1.570796e+00 4.196216e+17
 8.485504e-04 1.649336e+00 4.196216e+17
 8.483546e-04 1.727876e+00 4.196216e+17
 8.485596e-04 1.806416e+00 4.196216e+17
 8.483382e-04 1.884956e+00 4.196216e+17
 8.484349e-04 1.963495e+00 4.196216e+17
 8.482798e-04 2.042035e+00 4.196216e+17
 8.483222e-04 2.120575e+00 4.196216e+17
 8.480685e-04 2.199115e+00 4.196216e+17
 8.483505e-04 2.277655e+00 4.196216e+17
 8.483097e-04 2.356194e+00 4.196216e+17
 8.483519e-04 2.434734e+00 4.196216e+17
 8.483408e-04 2.513274e+00 4.196216e+17
 8.483626e-04 2.591814e+00 4.196216e+17
 8.483436e-04 2.670354e+00 4.196216e+17
 8.480802e-04 2.748894e+00 4.196216e+17
 8.484173e-04 2.827433e+00 4.196216e+17
 8.483865e-04 2.905973e+00 4.196216e+17
 8.484937e-04 2.984513e+00 4.196216e+17
 8.485119e-04 3.063053e+00 4.196216e+17
 8.485854e-04 3.141593e+00 4.196216e+17
 8.485591e-04 3.220132e+00 4.196216e+17
 8.484942e-04 3.298672e+00 4.196216e+17
 8.485628e-04 3.377212e+00 4.196216e+17
 8.483384e-04 3.455752e+00 4.196216e+17
 8.485463e-04 3.534292e+00 4.196216e+17
 8.482803e-04 3.612832e+00 4.196216e+17
 8.483203e-04 3.691371e+00 4.196216e+17
 8.479340e-04 3.769911e+00 4.196216e+17
 8.483509e-04 3.848451e+00 4.196216e+17
 8.481816e-04 3.926991e+00 4.196216e+17
 8.484050e-04 4.005531e+00 4.196216e+17
 8.483403e-04 4.084070e+00 4.196216e+17
 8.483383e-04 4.162610e+00 4.196216e+17
 8.482959e-04 4.241150e+00 4.196216e+17
 8.483533e-04 4.319690e+00 4.196216e+17
 8.484167e-04 4.398230e+00 4.196216e+17
 8.484637e-04 4.476770e+00 4.196216e+17
 8.484943e-04 4.555309e+00 4.196216e+17
 8.486078e-04 4.633849e+00 4.196216e+17
 8.485668e-04 4.712389e+00 4.196216e+17
 8.486253e-04 4.790929e+00 4.196216e+17
 8.484512e-04 4.869469e+00 4.196216e+17
 8.483310e-04 4.948008e+00 4.196216e+17
 8.484385e-04 5.026548e+00 4.196216e+17
 8.482785e-04 5.105088e+00 4.196216e+17
 8.482791e-04 5.183628e+00 4.196216e+17
 8.483706e-04 5.262168e+00 4.196216e+17
 8.480694e-04 5.340708e+00 4.196216e+17
 8.484162e-04 5.419247e+00 4.196216e+17
 8.483404e-04 5.497787e+00 4.196216e+17
 8.483502e-04 5.576327e+00 4.196216e+17
 8.483395e-04 5.654867e+00 4.196216e+17
 8.482685e-04 5.733407e+00 4.196216e+17
 8.482964e-04 5.811946e+00 4.196216e+17
 8.480789e-04 5.890486e+00 4.196216e+17
 8.483647e-04 5.969026e+00 4.196216e+17
 8.483860e-04 6.047566e+00 4.196216e+17
 8.485522e-04 6.126106e+00 4.196216e+17
 8.486074e-04 6.204645e+00 4.196216e+17
 
