 #Flux Phi frequency
 7.884079e-04 -2.748894e+00 4.196216e+17
 7.883834e-04 -2.827433e+00 4.196216e+17
 7.883779e-04 -2.513274e+00 4.196216e+17
 7.883662e-04 -2.670354e+00 4.196216e+17
 7.883114e-04 -2.591814e+00 4.196216e+17
 7.885421e-04 -3.141593e+00 4.196216e+17
 7.882912e-04 -2.434734e+00 4.196216e+17
 7.885439e-04 -2.984513e+00 4.196216e+17
 7.886020e-04 -3.063053e+00 4.196216e+17
 7.884707e-04 -2.905973e+00 4.196216e+17
 7.885689e-04 -1.727876e+00 4.196216e+17
 7.884467e-04 -1.806416e+00 4.196216e+17
 7.883158e-04 -2.277655e+00 4.196216e+17
 7.882924e-04 -2.356194e+00 4.196216e+17
 7.885959e-04 -1.649336e+00 4.196216e+17
 7.883862e-04 -2.199115e+00 4.196216e+17
 7.884303e-04 -1.884956e+00 4.196216e+17
 7.884073e-04 -1.963495e+00 4.196216e+17
 7.883563e-04 -2.042035e+00 4.196216e+17
 7.883145e-04 -2.120575e+00 4.196216e+17
 7.885507e-04 -1.570796e+00 4.196216e+17
 7.883115e-04 -1.021018e+00 4.196216e+17
 7.885308e-04 -1.413717e+00 4.196216e+17
 7.883838e-04 -1.256637e+00 4.196216e+17
 7.883486e-04 -8.639380e-01 4.196216e+17
 7.884784e-04 -1.335177e+00 4.196216e+17
 7.882939e-04 -7.853982e-01 4.196216e+17
 7.884088e-04 -1.178097e+00 4.196216e+17
 7.883772e-04 -9.424778e-01 4.196216e+17
 7.883673e-04 -1.099557e+00 4.196216e+17
 7.886045e-04 -1.492257e+00 4.196216e+17
 7.883549e-04 -7.068583e-01 4.196216e+17
 7.883869e-04 -3.926991e-01 4.196216e+17
 7.884469e-04 -2.356194e-01 4.196216e+17
 7.883141e-04 -5.497787e-01 4.196216e+17
 7.883770e-04 -4.712389e-01 4.196216e+17
 7.883793e-04 -3.141593e-01 4.196216e+17
 7.885522e-04 0.000000e+00 4.196216e+17
 7.885883e-04 -7.853982e-02 4.196216e+17
 7.883701e-04 -6.283185e-01 4.196216e+17
 7.885719e-04 -1.570796e-01 4.196216e+17
 7.886038e-04 7.853982e-02 4.196216e+17
 7.884381e-04 2.356194e-01 4.196216e+17
 7.884096e-04 3.926991e-01 4.196216e+17
 7.883788e-04 6.283185e-01 4.196216e+17
 7.885345e-04 1.570796e-01 4.196216e+17
 7.883097e-04 4.712389e-01 4.196216e+17
 7.883251e-04 5.497787e-01 4.196216e+17
 7.883493e-04 7.068583e-01 4.196216e+17
 7.883860e-04 3.141593e-01 4.196216e+17
 7.885328e-04 1.649336e+00 4.196216e+17
 7.882941e-04 1.021018e+00 4.196216e+17
 7.883781e-04 1.256637e+00 4.196216e+17
 7.883700e-04 9.424778e-01 4.196216e+17
 7.885501e-04 1.570796e+00 4.196216e+17
 7.884222e-04 1.335177e+00 4.196216e+17
 7.884321e-04 1.963495e+00 4.196216e+17
 7.884245e-04 1.884956e+00 4.196216e+17
 7.883454e-04 2.277655e+00 4.196216e+17
 7.883730e-04 2.199115e+00 4.196216e+17
 7.883204e-04 2.434734e+00 4.196216e+17
 7.883589e-04 2.120575e+00 4.196216e+17
 7.882898e-04 2.356194e+00 4.196216e+17
 7.883680e-04 2.042035e+00 4.196216e+17
 7.884062e-04 2.748894e+00 4.196216e+17
 7.883274e-04 2.591814e+00 4.196216e+17
 7.883705e-04 2.513274e+00 4.196216e+17
 7.884297e-04 2.670354e+00 4.196216e+17
 7.883776e-04 2.827433e+00 4.196216e+17
 7.884222e-04 2.905973e+00 4.196216e+17
 7.885775e-04 3.063053e+00 4.196216e+17
 7.885472e-04 3.141593e+00 4.196216e+17
 7.885765e-04 2.984513e+00 4.196216e+17
 7.882636e-04 -2.434734e+00 4.196216e+17
 7.882789e-04 -2.513274e+00 4.196216e+17
 7.885494e-04 -3.063053e+00 4.196216e+17
 7.883794e-04 -2.827433e+00 4.196216e+17
 7.883858e-04 -2.748894e+00 4.196216e+17
 7.885781e-04 -2.905973e+00 4.196216e+17
 7.885288e-04 -2.984513e+00 4.196216e+17
 7.882707e-04 -2.670354e+00 4.196216e+17
 7.883014e-04 -2.591814e+00 4.196216e+17
 7.885480e-04 -3.141593e+00 4.196216e+17
 7.882939e-04 -2.356194e+00 4.196216e+17
 7.885389e-04 -1.649336e+00 4.196216e+17
 7.885394e-04 -1.806416e+00 4.196216e+17
 7.884729e-04 -1.727876e+00 4.196216e+17
 7.883008e-04 -2.120575e+00 4.196216e+17
 7.882946e-04 -2.199115e+00 4.196216e+17
 7.882850e-04 -2.042035e+00 4.196216e+17
 7.884401e-04 -1.884956e+00 4.196216e+17
 7.882708e-04 -2.277655e+00 4.196216e+17
 7.883813e-04 -1.256637e+00 4.196216e+17
 7.885752e-04 -1.335177e+00 4.196216e+17
 7.885505e-04 -1.492257e+00 4.196216e+17
 7.883023e-04 -1.021018e+00 4.196216e+17
 7.885994e-04 -1.570796e+00 4.196216e+17
 7.884603e-04 -1.413717e+00 4.196216e+17
 7.883154e-04 -9.424778e-01 4.196216e+17
 7.882854e-04 -8.639380e-01 4.196216e+17
 7.882667e-04 -7.068583e-01 4.196216e+17
 7.882935e-04 -7.853982e-01 4.196216e+17
 7.884181e-04 -3.141593e-01 4.196216e+17
 7.883783e-04 -3.926991e-01 4.196216e+17
 7.884776e-04 -1.570796e-01 4.196216e+17
 7.884761e-04 -2.356194e-01 4.196216e+17
 7.882981e-04 -5.497787e-01 4.196216e+17
 7.885936e-04 0.000000e+00 4.196216e+17
 7.885528e-04 -7.853982e-02 4.196216e+17
 7.882822e-04 -4.712389e-01 4.196216e+17
 7.882912e-04 4.712389e-01 4.196216e+17
 7.883726e-04 3.926991e-01 4.196216e+17
 7.884414e-04 3.141593e-01 4.196216e+17
 7.884615e-04 2.356194e-01 4.196216e+17
 7.882852e-04 7.068583e-01 4.196216e+17
 7.882924e-04 7.853982e-01 4.196216e+17
 7.885500e-04 7.853982e-02 4.196216e+17
 7.882910e-04 5.497787e-01 4.196216e+17
 7.884669e-04 1.570796e-01 4.196216e+17
 7.883151e-04 6.283185e-01 4.196216e+17
 7.882642e-04 8.639380e-01 4.196216e+17
 7.883418e-04 1.256637e+00 4.196216e+17
 7.885827e-04 1.335177e+00 4.196216e+17
 7.885553e-04 1.570796e+00 4.196216e+17
 7.883203e-04 1.021018e+00 4.196216e+17
 7.883088e-04 9.424778e-01 4.196216e+17
 7.885249e-04 1.649336e+00 4.196216e+17
 7.882896e-04 2.042035e+00 4.196216e+17
 7.882740e-04 2.434734e+00 4.196216e+17
 7.882806e-04 2.199115e+00 4.196216e+17
 7.882798e-04 2.277655e+00 4.196216e+17
 7.882920e-04 2.356194e+00 4.196216e+17
 7.884030e-04 1.963495e+00 4.196216e+17
 7.884149e-04 1.884956e+00 4.196216e+17
 7.883030e-04 2.120575e+00 4.196216e+17
 7.882969e-04 2.513274e+00 4.196216e+17
 7.883399e-04 2.827433e+00 4.196216e+17
 7.885249e-04 2.984513e+00 4.196216e+17
 7.883454e-04 2.748894e+00 4.196216e+17
 7.885526e-04 3.141593e+00 4.196216e+17
 7.882931e-04 2.591814e+00 4.196216e+17
 7.885811e-04 2.905973e+00 4.196216e+17
 7.885027e-04 3.063053e+00 4.196216e+17
